,id,lat,lon,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type
14415,qE0uAf4GxIVpDulQe+08DQ==,-34.5930398,-58.4001831,Barrio Norte,1.0,1.0,40.0,40.0,116000.0,Departamento
14416,OmjdPGPYTJRXsFoXzFiZFg==,-34.5866898,-58.4007359,Barrio Norte,2.0,1.0,42.0,42.0,119900.0,Departamento
14417,+RdKQ4zpCvA0Wo5nD1AkYQ==,-34.5969078029,-58.4379272071,Villa Crespo,2.0,1.0,40.0,40.0,170000.0,Departamento
14418,jzP49nBaGTqMZ4vKMNuh3A==,-34.6027947,-58.4370606,Villa Crespo,2.0,1.0,70.0,66.0,147000.0,Departamento
14419,YsSiuAPrtT3fzqJJ4Hk+0w==,-34.5978303,-58.4500098,Villa Crespo,1.0,1.0,85.0,47.0,187748.0,Departamento
14420,06Kx+N7tcTIYzN3kDMGw8Q==,-34.5988057,-58.4338222,Villa Crespo,2.0,1.0,36.0,32.0,100000.0,Departamento
14421,eMXPm827jpSqRQKKvRtSTg==,-34.6119804,-58.4687187,Villa Crespo,2.0,1.0,42.0,40.0,89000.0,Departamento
14422,QQ+Xod2LLhSb9O+TUZmS1w==,-34.5978303,-58.4500098,Villa Crespo,1.0,1.0,48.0,45.0,66000.0,Departamento
14423,IdlGmSnvfDTSF/YR/n6zIw==,-34.621305,-58.3618476,Puerto Madero,2.0,1.0,65.0,60.0,315000.0,Departamento
14424,ZIV/frMhyPvnLIJi0647hQ==,-34.6148761544,-58.3626186238,Puerto Madero,2.0,1.0,88.0,88.0,650000.0,Departamento
14425,k/FC8XhIt/iNLpYby5ZJjA==,-34.6244304,-58.4062476,San Cristobal,2.0,1.0,57.0,48.0,81963.0,Departamento
14426,YtzlOKuBASv12vFE+qc9IA==,-34.6244304,-58.4062476,San Cristobal,2.0,1.0,57.0,48.0,91070.0,Departamento
14427,kD+06zzXm/1RPPNKJk7GHQ==,-34.6244304,-58.4062476,San Cristobal,2.0,1.0,57.0,48.0,92371.0,Departamento
14428,3Su6/Y+NhmQucH0xurg8Dg==,-34.6244304,-58.4062476,San Cristobal,2.0,1.0,58.0,36.0,107310.0,Departamento
14429,pRxZoMBgItwbsj3StlQ5ZA==,-34.6244304,-58.4062476,San Cristobal,2.0,1.0,57.0,48.0,89769.0,Departamento
14430,Z/bO1EwFMKBmimG59Dcoyg==,-34.6244304,-58.4062476,San Cristobal,2.0,1.0,56.0,40.0,102309.0,Departamento
14431,dDb7jXrTzGQ38ZLwD1QGTg==,-34.6244304,-58.4062476,San Cristobal,2.0,1.0,57.0,48.0,93672.0,Departamento
14432,ntqIgfrBkmXAy330U+JCjA==,-34.6244304,-58.4062476,San Cristobal,2.0,1.0,57.0,48.0,87167.0,Departamento
14433,RTDzphnGZhsoKzk7YRuIgw==,-34.6244304,-58.4062476,San Cristobal,2.0,1.0,57.0,48.0,78060.0,Departamento
14434,pyB1RgW2cR+UNTvNGC9Vbg==,-34.5618267,-58.4914609,Villa Urquiza,2.0,1.0,48.0,45.0,118000.0,Departamento
14435,NoIar6QJAqfx6Ekep31jfg==,-34.5707298,-58.484526,Villa Urquiza,2.0,1.0,50.0,50.0,165000.0,Departamento
14436,shTvqN8gBd4j1qgGZVfJGw==,-34.5749942,-58.4716795,Villa Urquiza,1.0,1.0,44.0,38.0,129000.0,Departamento
14437,z3hF4pi2CRy0Hcv1VTls7A==,-34.5651315,-58.480515,Villa Urquiza,2.0,1.0,55.0,55.0,167000.0,Departamento
14438,J7Up/tf5NU2IkUTuJJddIA==,-34.5675693,-58.4866103,Villa Urquiza,2.0,1.0,47.0,40.0,119000.0,Departamento
14439,68rQEU7Asn9t2J9BpTzvqg==,-34.6143659,-58.4825691,Villa Santa Rita,2.0,1.0,46.0,46.0,115000.0,Departamento
14440,eINjvsZ+hEFPdFEYDdGdsw==,-34.5998457,-58.5018389,Villa del Parque,2.0,1.0,40.0,40.0,78000.0,Departamento
14441,Id1uKG2zjxby2LFqj23d3A==,-34.5676079,-58.4682532,Belgrano,3.0,2.0,92.0,75.0,275000.0,PH
14442,whzjfq6jF0peXrNdJPdB9g==,-34.6177133,-58.5042532,Floresta,3.0,2.0,102.0,102.0,183000.0,PH
14443,ciKuNL4NVTU1apy+f6obcA==,-34.6320689,-58.4987036,Villa Luro,3.0,2.0,87.0,62.0,137000.0,PH
14444,tHXXdyIJAUjM4tEvlanoWQ==,-34.565278,-58.4901292,Villa Urquiza,3.0,1.0,88.0,68.0,160000.0,PH
14445,ktYetTipionemSUt2G7btw==,-34.5666619,-58.4926881,Villa Urquiza,3.0,2.0,76.0,73.0,175000.0,PH
14446,P9GNEuxPhQ8WwpGgoYGDbA==,-34.6406597,-58.4324352,Parque Chacabuco,3.0,3.0,40.0,40.0,157000.0,PH
14447,rU0dEZM14b0tNdYglD8HKA==,-34.6035966,-58.4735742,Villa del Parque,3.0,1.0,178.0,178.0,148000.0,PH
14448,p94u+Z/HS0o6Vt1Pvrr8jg==,-34.6244304,-58.4062476,Boedo,3.0,2.0,72.0,62.0,114487.0,Departamento
14449,tQN0tyNhtl0xeoz6Gy8AQg==,-34.6244304,-58.4062476,Boedo,3.0,2.0,72.0,62.0,109035.0,Departamento
14450,oedoGhNlEgBV/iAVpelX8w==,-34.6244304,-58.4062476,Boedo,3.0,2.0,72.0,62.0,112670.0,Departamento
14451,Ydmp3bboRXSIk/VrBesVJw==,-34.6244304,-58.4062476,Boedo,3.0,2.0,72.0,62.0,110852.0,Departamento
14452,HA/QoMk6HFVqtGWgQiT+HQ==,-34.6194533823,-58.4718827323,Flores,3.0,1.0,65.0,56.0,124000.0,Departamento
14453,r5T2O2UHIp9vOGHRYJ43Zw==,-34.6449293,-58.4566049,Flores,3.0,1.0,59.0,52.0,57700.0,Departamento
14454,35LKgFvuhDwj1ckTwFJRrw==,-34.54129791,-58.46352386,Nuñez,3.0,3.0,92.0,92.0,480000.0,Departamento
14455,imdmAyau8NiYU/44cOYjxQ==,-34.6037253,-58.4357645,Almagro,3.0,1.0,48.0,48.0,120000.0,Departamento
14456,h1Zwuo1cyfpI1a71NsveYQ==,-34.6053658,-58.4289359,Almagro,3.0,1.0,52.0,52.0,89000.0,Departamento
14457,fRomY79DBMZSkNpLyuKrwA==,-34.581682,-58.4226071,Palermo,2.0,2.0,113.0,104.0,370000.0,Departamento
14458,id3SjPp646x8T8oN5IIi+A==,-34.5829358,-58.4070105,Palermo,3.0,2.0,59.0,52.0,175000.0,Departamento
14459,c9hI8G3PU+rqIR67tQeS9Q==,-34.582386,-58.408083,Palermo,3.0,2.0,105.0,105.0,450000.0,Departamento
14460,tsRwhk8qp4uZd3OpmffAKg==,-34.5796113,-58.4125876,Palermo,3.0,1.0,67.0,60.0,198000.0,Departamento
14461,0UlKyZETJzANgxM5dswmjg==,-34.581682,-58.4226071,Palermo,1.0,1.0,39.0,36.0,133000.0,Departamento
14462,B13pJAO5NmWkbAjpmKXgJw==,-34.61740875,-58.37142563,Palermo,3.0,3.0,94.0,94.0,480000.0,Departamento
14463,73stiaeqQaYmnGqHi3wnGQ==,-34.5942073,-58.4143637,Palermo,4.0,1.0,78.0,78.0,229000.0,Departamento
14464,hFmr8xDGiRxPEJ19eH1VWw==,-34.581682,-58.4226071,Palermo,2.0,2.0,48.0,42.0,150000.0,Departamento
14465,2gjdwKDoRDxTCN4psb+oWA==,-34.5865626,-58.4124742,Palermo,3.0,1.0,91.0,82.0,215000.0,Departamento
14466,pTPAEXCcZRjHlTQLcPkGdw==,-34.581682,-58.4226071,Palermo,2.0,2.0,105.0,73.0,262000.0,Departamento
14467,i0PbfQGsVbX2SWjdlPtJWg==,-34.571166,-58.4306967,Palermo,3.0,1.0,108.0,102.0,389736.0,Departamento
